global_id,PERIOD,WORK_NAME,NUM_ENTRANCE,ElevatorNumber,PLAN_DATE_START,PLAN_DATE_END,FACT_DATE_START,FACT_DATE_END,AdmArea,District,Address,UNOM
347274,2022,"ремонт подъездов, направленный на восстановление их надлежащего состояния и проводимый при выполнении иных работ по капитальному ремонту общего имущества в многоквартирном доме",,,21.05.2022,31.10.2022,02.05.2022,18.10.2022,Восточный административный округ,район Ивановское,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ивановское, Челябинская улица, дом 2",28391
347273,2022,"ремонт подвальных помещений, относящихся к общему имуществу в многоквартирном доме",,,21.05.2022,30.09.2022,21.02.2022,27.04.2022,Восточный административный округ,район Ивановское,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ивановское, Челябинская улица, дом 2",28391
347271,2022,ремонт внутридомовых инженерных систем теплоснабжения (разводящие магистрали),,,21.04.2022,10.07.2022,22.04.2022,12.07.2022,Восточный административный округ,район Ивановское,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ивановское, Челябинская улица, дом 2",28391
430917,2022,ремонт мусоропровода,,,21.02.2022,20.06.2022,21.02.2022,27.04.2022,Восточный административный округ,район Ивановское,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ивановское, Челябинская улица, дом 2",28391
395107,2022,ремонт внутридомовых инженерных систем теплоснабжения (разводящие магистрали),,,21.04.2022,10.07.2022,04.05.2022,01.10.2022,Восточный административный округ,район Гольяново,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Гольяново, Красноярская улица, дом 1",11723
395106,2022,ремонт внутридомовых инженерных систем водоотведения (канализации) (выпуски и сборные трубопроводы),,,11.03.2022,10.07.2022,03.02.2022,29.06.2022,Восточный административный округ,район Гольяново,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Гольяново, Красноярская улица, дом 1",11723
430910,2022,ремонт крыши,,,11.05.2022,31.08.2022,16.05.2022,11.10.2022,Восточный административный округ,район Сокольники,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Сокольники, Егерская улица, дом 1",7376
430908,2022,ремонт внутридомовых инженерных систем водоотведения (канализации) (выпуски и сборные трубопроводы),,,11.03.2022,10.07.2022,18.01.2022,22.07.2022,Восточный административный округ,район Сокольники,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Сокольники, Егерская улица, дом 1",7376
430909,2022,ремонт внутридомовых инженерных систем горячего водоснабжения (разводящие магистрали),,,11.03.2022,10.07.2022,18.01.2022,12.04.2022,Восточный административный округ,район Сокольники,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Сокольники, Егерская улица, дом 1",7376
430918,2022,"замена оконных блоков, расположенных в помещениях общего пользования",,,01.04.2022,30.06.2022,01.04.2022,27.04.2022,Восточный административный округ,район Ивановское,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ивановское, Челябинская улица, дом 2",28391
430915,2022,ремонт внутридомовых инженерных систем горячего водоснабжения (разводящие магистрали),,,21.02.2022,20.06.2022,26.01.2022,27.04.2022,Восточный административный округ,район Ивановское,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ивановское, Челябинская улица, дом 2",28391
430916,2022,ремонт внутридомовых инженерных систем водоотведения (канализации) (выпуски и сборные трубопроводы),,,21.02.2022,20.06.2022,22.02.2022,27.04.2022,Восточный административный округ,район Ивановское,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ивановское, Челябинская улица, дом 2",28391
347366,2022,ремонт внутридомовых инженерных систем электроснабжения,,,21.03.2022,20.07.2022,25.03.2022,21.09.2022,Восточный административный округ,район Ивановское,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ивановское, Свободный проспект, дом 11, корпус 2",22830
347368,2022,"ремонт подвальных помещений, относящихся к общему имуществу в многоквартирном доме",,,21.05.2022,30.09.2022,02.06.2022,15.12.2022,Восточный административный округ,район Ивановское,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ивановское, Свободный проспект, дом 11, корпус 2",22830
347369,2022,"ремонт подъездов, направленный на восстановление их надлежащего состояния и проводимый при выполнении иных работ по капитальному ремонту общего имущества в многоквартирном доме",,,21.05.2022,31.10.2022,06.06.2022,15.12.2022,Восточный административный округ,район Ивановское,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ивановское, Свободный проспект, дом 11, корпус 2",22830
347367,2022,ремонт внутридомовых инженерных систем водоотведения (канализации) (выпуски и сборные трубопроводы),,,21.03.2022,20.07.2022,17.02.2022,20.07.2022,Восточный административный округ,район Ивановское,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ивановское, Свободный проспект, дом 11, корпус 2",22830
361506,2022,"замена оконных блоков, расположенных в помещениях общего пользования",,,01.04.2022,30.06.2022,20.05.2022,26.07.2022,Восточный административный округ,район Ивановское,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ивановское, Свободный проспект, дом 11, корпус 2",22830
430949,2022,ремонт мусоропровода,,,21.03.2022,20.07.2022,04.04.2022,09.08.2022,Восточный административный округ,район Ивановское,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ивановское, Свободный проспект, дом 11, корпус 2",22830
430946,2022,ремонт внутридомовых инженерных систем горячего водоснабжения (разводящие магистрали),,,21.03.2022,20.07.2022,25.03.2022,26.07.2022,Восточный административный округ,район Ивановское,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ивановское, Свободный проспект, дом 11, корпус 2",22830
430947,2022,ремонт внутридомовых инженерных систем теплоснабжения (разводящие магистрали),,,21.04.2022,10.07.2022,17.05.2022,09.08.2022,Восточный административный округ,район Ивановское,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ивановское, Свободный проспект, дом 11, корпус 2",22830
430948,2022,ремонт внутридомовых инженерных систем холодного водоснабжения (разводящие магистрали),,,21.03.2022,20.07.2022,25.03.2022,20.07.2022,Восточный административный округ,район Ивановское,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ивановское, Свободный проспект, дом 11, корпус 2",22830
347420,2022,ремонт внутридомовых инженерных систем электроснабжения,,,11.03.2022,10.07.2022,18.02.2022,22.06.2022,Восточный административный округ,район Гольяново,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Гольяново, Алтайская улица, дом 5",365
